id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,0,Jura,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,0,Geschichte,Deutschland
lm,Ljudmyla Melnyk,0,Wissenschaft,Ukraine
kd,Kristina Dunz,0,Journalismus,Deutschland
el,Egils Levits,Jaunā Vienotība,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,PvdA,Politik,Niederlande
am,Andrij Melnyk,0,Politik,Ukraine
agf,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,0,Militär,Deutschland
rh,RobertHabeck,Grüne,Politik,Deutschland
cm,Claudia Major,0,Wissenschaft,Deutschland
kp,Katja Petrowskaja,0,Journalismus,Deutschland-Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
Grüne,Bündnis 90/​Die Grünen,0,0,0
CDU,Christlich demokratische Union,0,0,0
SPD,Sozial demokratische Partei,0,0,0
Linke,Die Linke,0,0,0
FDP,Freie demokratische Partei,0,0,0
JV,Jaunā Vienotība,0,0,0
PvdA,Partij van der Arbeid,0,0,0
500,Folge 500,0,0,0
501,Folge 501,0,0,0
502,Folge 502,0,0,0
503,Folge 503,0,0,0
